Grade,,,,,
Subjects,8,9,10,11,Mean
1,1.75,2.60,3.76,3.68,2.95
2,0.90,2.47,2.44,3.43,2.31
3,0.80,0.93,0.40,2.27,1.10
4,2.42,4.15,4.56,4.21,3.83
4,$-$1.31,$-$1.31,$-$0.66,$-$2.22,$-$1.38
6,$-$1.56,1.67,0.18,2.33,0.66
7,01.09,1.50,0.52,2.33,1.36
8,$-$1.92,01.03,0.50,03.04,0.66
9,$-$1.61,0.29,0.73,3.24,0.66
10,2.47,3.64,2.87,5.38,3.59
11,$-$0.95,0.41,0.21,1.82,0.37
12,1.66,2.74,2.40,2.17,2.24
13,02.07,4.92,4.46,4.71,04.04
14,3.30,6.10,7.19,7.46,06.02
15,2.75,2.53,4.28,5.93,3.87
16,2.25,3.38,5.79,4.40,3.96
17,02.08,1.74,4.12,3.62,2.89
18,0.14,0.01,1.48,2.78,1.10
19,0.13,3.19,0.60,3.14,1.77
20,2.19,2.65,3.27,2.73,2.71
21,$-$0.64,$-$1.31,$-$0.37,04.09,0.44
22,02.02,3.45,5.32,06.01,4.20
23,02.05,1.80,3.91,2.49,2.56
24,1.48,0.47,3.63,3.88,2.37
25,1.97,2.54,3.26,5.62,3.35
26,1.35,4.63,3.54,5.24,3.69
27,$-$0.56,$-$0.36,1.14,1.34,0.39
28,0.26,0.08,1.17,2.15,0.92
29,1.22,1.41,4.66,2.62,2.47
30,$-$1.43,0.80,$-$0.03,01.04,0.09
31,$-$1.17,1.66,2.11,1.42,1.00
32,1.68,1.71,04.07,3.30,2.69
33,$-$0.47,0.93,1.30,0.76,0.63
34,2.18,6.42,4.64,4.82,4.51
35,4.21,07.08,6.00,5.65,5.73
36,8.26,9.55,10.24,10.58,9.66
37,1.24,4.90,2.42,2.54,2.78
38,5.94,6.56,9.36,7.72,7.40
39,0.87,3.36,2.58,1.73,2.14
40,$-$0.09,2.29,03.08,3.35,2.15
41,3.24,4.78,3.52,4.84,4.10
42,01.03,2.10,3.88,2.81,2.45
43,3.58,4.67,3.83,5.19,4.32
44,1.41,1.75,3.70,3.77,2.66
45,$-$0.65,$-$0.11,2.40,3.53,1.29
46,1.52,03.04,2.74,2.63,2.48
47,0.57,2.71,1.90,2.41,1.90
48,2.18,2.96,4.78,3.34,3.32
49,1.10,2.65,1.72,2.96,2.11
50,0.15,2.69,2.69,3.50,2.26
51,$-$1.27,1.26,0.71,2.68,0.85
52,2.81,5.19,6.33,5.93,05.06
53,2.62,3.54,4.86,5.80,4.21
54,0.11,2.25,1.56,3.92,1.96
55,0.61,1.14,1.35,0.53,0.91
56,$-$2.19,$-$0.42,1.54,1.16,0.02
57,1.55,2.42,1.11,2.18,1.82
58,0.04,0.50,2.60,2.61,1.42
59,3.10,2.00,3.92,3.91,3.24
60,$-$0.29,2.62,1.60,1.86,1.45
61,2.28,3.39,4.91,3.89,3.62
62,2.57,5.78,5.12,4.98,4.61
63,$-$2.19,0.71,1.56,2.31,0.60
64,$-$0.04,2.44,1.79,2.64,1.71
Mean,1.14,2.54,2.99,3.47,2.53